x,y,b_mag,b_mag_err,v_mag,v_mag_err,r_mag,r_mag_err,i_mag,i_mag_err
524,4,16.65,0.31,16.39,0.26,15.18,0.16,13.73,0.11
497,5,14.23,0.19,13.94,0.09,12.4,0.09,11.06,0.09
560,5,14.78,0.19,,,13.72,0.1,12.67,0.1
232,14,15.84,0.22,15.06,0.11,14.64,0.12,14.22,0.14
464,15,19.5,3.38,16.28,0.24,15.57,0.21,14.85,0.2
451,16,15.34,0.2,14.88,0.11,14.6,0.12,14.2,0.13
594,16,18.13,0.98,16.07,0.21,15.35,0.18,14.62,0.17
168,20,14.51,0.19,13.57,0.09,12.99,0.1,12.25,0.09
337,21,18.8,1.78,16.9,0.41,16.46,0.43,16.2,0.62
426,25,15.82,0.22,,,,,,
523,27,17.4,0.52,15.74,0.16,15.08,0.15,14.33,0.14
48,28,14.84,0.19,13.96,0.09,13.44,0.1,12.78,0.1
133,32,22.46,51.57,16.61,0.32,15.99,0.29,15.18,0.26
252,32,19.17,2.52,,,,,,
340,36,19.01,2.17,,,15.77,0.24,15.12,0.25
745,37,16.57,0.3,15.49,0.14,15.0,0.14,14.44,0.15
424,38,18.61,1.5,,,15.85,0.26,15.14,0.25
185,40,13.19,0.19,11.91,0.09,11.13,0.09,10.2,0.09
386,41,16.27,0.25,15.34,0.13,14.91,0.14,14.37,0.15
335,44,16.63,0.3,,,14.99,0.14,14.31,0.14
550,44,15.31,0.2,14.89,0.11,14.62,0.12,14.21,0.14
475,46,16.33,0.26,15.22,0.12,14.6,0.12,13.83,0.12
684,46,15.78,0.22,14.63,0.1,14.02,0.1,13.25,0.1
606,48,19.51,3.41,,,15.99,0.29,15.38,0.3
123,49,15.51,0.21,14.88,0.11,14.48,0.12,14.02,0.12
169,49,16.03,0.23,14.98,0.11,14.39,0.11,13.61,0.11
258,50,14.44,0.19,13.45,0.09,12.84,0.09,12.07,0.09
113,50,15.99,0.23,15.16,0.12,14.69,0.12,14.13,0.13
294,56,15.2,0.2,14.17,0.09,13.56,0.1,12.81,0.1
178,57,15.22,0.2,14.86,0.11,14.69,0.12,14.3,0.14
583,58,16.79,0.34,15.63,0.15,15.06,0.15,14.37,0.15
597,59,16.22,0.25,15.12,0.12,14.51,0.12,13.76,0.11
453,61,15.41,0.2,14.82,0.1,,,,
499,64,15.0,0.19,14.54,0.1,14.17,0.11,13.76,0.11
79,65,16.84,0.35,15.58,0.15,15.05,0.15,14.33,0.14
417,65,15.26,0.2,14.21,0.09,13.57,0.1,12.75,0.1
368,70,17.83,0.75,16.93,0.42,16.44,0.42,15.73,0.41
535,73,15.74,0.21,15.42,0.13,15.39,0.18,15.18,0.26
498,74,17.06,0.4,16.1,0.21,15.4,0.18,14.69,0.18
226,78,13.46,0.19,11.97,0.09,11.08,0.09,10.05,0.09
757,81,17.79,0.72,17.79,0.91,17.56,1.16,15.5,0.34
376,81,17.04,0.4,,,15.5,0.2,,
427,82,13.44,0.19,12.11,0.09,11.27,0.09,10.32,0.09
304,84,15.79,0.22,15.07,0.11,14.66,0.12,14.05,0.13
396,84,16.68,0.31,15.67,0.16,15.11,0.15,14.32,0.14
61,85,15.67,0.21,14.76,0.1,14.31,0.11,13.67,0.11
606,86,15.59,0.21,14.49,0.1,13.85,0.1,13.06,0.1
232,86,16.42,0.27,,,,,,
335,87,17.54,0.59,16.54,0.3,,,,
436,88,16.02,0.23,14.93,0.11,13.95,0.1,12.92,0.1
39,90,15.18,0.2,14.93,0.11,14.88,0.14,14.63,0.17
501,91,15.5,0.21,,,13.77,0.1,12.95,0.1
670,91,15.75,0.22,15.45,0.14,15.36,0.18,15.13,0.25
74,93,17.41,0.53,16.64,0.33,16.57,0.47,16.38,0.73
328,95,15.74,0.21,15.12,0.12,14.69,0.12,14.15,0.13
736,96,18.94,2.04,,,,,,
193,97,17.85,0.76,16.46,0.28,15.8,0.25,15.03,0.23
296,97,17.43,0.54,,,,,,
634,97,17.22,0.45,16.12,0.21,15.5,0.2,14.84,0.2
121,98,15.71,0.21,15.0,0.11,14.61,0.12,14.09,0.13
431,98,15.55,0.21,14.76,0.1,14.21,0.11,13.48,0.11
276,99,16.61,0.3,,,,,,
414,99,14.61,0.19,13.54,0.09,12.88,0.09,12.05,0.09
457,99,15.59,0.21,14.64,0.1,14.02,0.1,13.25,0.1
743,99,17.47,0.55,,,,,,
558,100,14.65,0.19,13.76,0.09,13.17,0.1,12.42,0.09
582,100,19.33,2.89,16.97,0.44,15.9,0.27,15.13,0.25
206,102,15.27,0.2,15.01,0.11,14.89,0.14,14.62,0.17
550,104,15.18,0.2,,,,,13.65,0.11
309,108,15.22,0.2,14.89,0.11,14.75,0.13,14.41,0.15
297,109,17.68,0.66,16.76,0.36,16.08,0.31,15.42,0.31
618,109,21.2,16.21,17.6,0.76,17.12,0.78,16.64,0.92
342,111,16.46,0.28,15.63,0.15,15.18,0.16,14.56,0.16
393,111,17.13,0.43,16.33,0.25,15.73,0.23,14.94,0.21
228,116,19.56,3.59,17.31,0.59,16.48,0.44,15.39,0.3
522,119,17.0,0.39,15.85,0.17,15.43,0.19,14.76,0.19
680,119,16.33,0.26,15.25,0.12,14.65,0.12,13.87,0.12
301,120,14.88,0.19,14.44,0.1,14.18,0.11,13.7,0.11
421,119,17.1,0.42,16.14,0.22,15.67,0.22,14.96,0.22
322,121,17.01,0.39,16.44,0.27,16.03,0.3,15.42,0.31
242,122,14.67,0.19,13.65,0.09,13.0,0.1,12.19,0.09
365,123,17.01,0.39,16.05,0.2,15.59,0.21,14.88,0.2
542,123,15.74,0.21,15.07,0.11,14.65,0.12,14.07,0.13
79,126,15.31,0.2,,,,,13.03,0.1
344,129,16.95,0.37,,,,,,
309,131,17.17,0.44,16.46,0.28,15.84,0.25,15.09,0.24
