Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00049103 -1.50000 10.00000 0.0900000036 1.0816895962    0.090 -3.185  3.4747  5.428    1  0.000  0.545     0.00     0.00 -1  -5.3e-17      0.00 7.485e-01 2.510e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 12.732 20.166 17.412 15.410 13.699 12.061 10.743 10.433 10.332
0.00049103 -1.50000 10.00000 0.0962925777 1.1393688917    0.096 -2.999  3.5012  5.377    1  0.000  0.545     0.00     0.00 -1 -8.33e-17      0.00 7.475e-01 2.520e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.267 18.475 16.266 14.340 12.936 11.583 10.370 9.953 9.825
0.00049103 -1.50000 10.00000 0.1000000015 1.1711064577    0.100 -2.895  3.5160  5.349    1  0.000  0.545     0.00     0.00 -1 -1.07e-16      0.00 7.469e-01 2.526e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.007 17.609 15.663 13.815 12.530 11.318 10.160 9.699 9.558
0.00049103 -1.50000 10.00000 0.1199999973 1.3193154335    0.120 -2.609  3.5472  5.267    1  0.000  0.545     0.00     0.00 -1 -2.08e-16      0.00 7.447e-01 2.548e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 11.293 15.804 14.301 12.669 11.559 10.594 9.547 9.024 8.859
0.00049103 -1.50000 10.00000 0.1400000006 1.4384527206    0.140 -2.428  3.5625  5.214    1  0.000  0.545     0.00     0.00 -1  -3.1e-16      0.00 7.431e-01 2.564e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.841 14.890 13.567 12.048 11.006 10.139 9.144 8.601 8.426
0.00049103 -1.50000 10.00000 0.1599999964 1.5372931957    0.160 -2.288  3.5727  5.173    1  0.000  0.545     0.00     0.00 -1  -4.2e-16      0.00 7.418e-01 2.577e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.489 14.253 13.041 11.596 10.598 9.786 8.825 8.272 8.089
0.00049103 -1.50000 10.00000 0.2000000179 1.6938792467    0.200 -2.068  3.5860  5.103    1  0.000  0.545     0.00     0.00 -1 -6.75e-16      0.00 7.406e-01 2.589e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 9.940 13.359 12.279 10.927 9.987 9.234 8.315 7.753 7.564
0.00049103 -1.50000 10.00000 0.2500000298 1.8403259516    0.250 -1.863  3.5971  5.039    1  0.000  0.545     0.00     0.00 -1 -1.04e-15      0.00 7.405e-01 2.590e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.942e-04 9.427 12.580 11.602 10.322 9.432 8.719 7.835 7.268 7.077
0.00049103 -1.50000 10.00000 0.3000000417 1.9529141188    0.300 -1.706  3.6057  4.996    1  0.000  0.545     0.00     0.00 -1 -1.43e-15      0.00 7.406e-01 2.589e-01 8.882e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.035 12.001 11.092 9.865 9.012 8.325 7.467 6.899 6.712
0.00049103 -1.50000 10.00000 0.3168833554 1.9855394363    0.317 -1.661  3.6083  4.985    1  0.000  0.545     0.00     0.00 -1 -1.57e-15      0.00 7.406e-01 2.589e-01 8.881e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.924 11.835 10.946 9.734 8.891 8.212 7.362 6.793 6.608
0.00049103 -1.50000 10.00000 0.3500000238 2.0434176922    0.350 -1.580  3.6130  4.966    1  0.000  0.545     0.00     0.00 -1 -1.84e-15      0.00 7.407e-01 2.588e-01 8.879e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.719 11.536 10.681 9.496 8.672 8.007 7.170 6.601 6.420
0.00049103 -1.50000 10.00000 0.4000000358 2.1185026169    0.400 -1.439  3.6240  4.927    1  0.000  0.545     0.00     0.00 -1 -2.49e-15      0.00 7.503e-01 2.492e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.368 10.969 10.191 9.067 8.288 7.654 6.848 6.279 6.110
0.00049103 -1.50000 10.00000 0.4500000179 2.1822810173    0.450 -1.268  3.6423  4.880    1  0.000  0.545     0.00     0.00 -1 -3.67e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 7.939 10.200 9.547 8.517 7.810 7.225 6.469 5.906 5.761
0.00049103 -1.50000 10.00000 0.5000000000 2.2374541759    0.500 -1.076  3.6676  4.835    1  0.000  0.545     0.00     0.00 -1  -5.7e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 7.460 9.259 8.797 7.887 7.271 6.750 6.064 5.534 5.415
0.00049103 -1.50000 10.00000 0.5500000715 2.2836585045    0.550 -0.870  3.6921  4.769    1  0.000  0.544     0.00     0.00 -1 -9.43e-15      0.00 7.792e-01 2.203e-01 7.924e-05 2.139e-05 1.940e-04 -1.000 4.904e-04 6.945 8.308 8.059 7.250 6.715 6.245 5.633 5.156 5.056
0.00049103 -1.50000 10.00000 0.6000000238 2.3211214542    0.600 -0.670  3.7185  4.712    1  0.000  0.544     0.00     0.00 -1 -1.53e-14      0.00 7.883e-01 2.112e-01 7.634e-05 2.061e-05 1.871e-04 -1.000 4.705e-04 6.446 7.419 7.372 6.660 6.194 5.769 5.235 4.816 4.732
0.00049103 -1.50000 10.00000 0.6032770872 2.3233287334    0.603 -0.657  3.7204  4.709    1  0.000  0.544     0.00     0.00 -1 -1.57e-14      0.00 7.890e-01 2.105e-01 7.612e-05 2.056e-05 1.866e-04 -1.000 4.874e-04 6.412 7.359 7.325 6.621 6.159 5.738 5.209 4.794 4.712
