star_number,x,y,b_mag_simbad,v_mag_simbad,raj2000,dej2000,Comment
1,468,340,14.23,12.98,154.4235833,-46.39422222,
2,516,175,14.14,12.71,154.4342131,-46.42404393,
3,414,99,14.671,13.505,154.4069088,-46.4368978,
4,334,231,14.96,13.89,154.3874167,-46.41266667,
5,522,300,14.07,12.73,154.4370716,-46.40177926,
6,458,237,14.808,13.657,154.419832,-46.4124569,
7,242,122,14.719,13.58,154.3623997,-46.43123985,
8,301,120,14.85,14.18,154.3778768,-46.43210782,
9,79,126,15.258,14.258,154.3202712,-46.42924936,
10,382,178,15.642,14.652,154.3994745,-46.42249535,
11,579,345,15.677,14.602,154.4522989,-46.39418469,
12,151,369,14.86,14.77,154.3417984,-46.38643797,
13,293,182,15.98,14.94,154.3763629,-46.42094251,
14,381,140,16.39,15.44,154.3986625,-46.42928333,
15,334,213,16.566,15.681,154.3874041,-46.4158892,
16,498,248,14.91,13.783,154.4304264,-46.41080392,
17,284,454,15.947,14.982,154.3770953,-46.37223418,
18,396,84,16.9,15.93,154.4021582,-46.43935901,
19,202,202,16.05,15.27,154.3531292,-46.41680556,
20,376,81,17.33,16.45,154.3969167,-46.43991667,
21,613,256,16.211,15.263,154.4602562,-46.41026601,
22,327,296,17.34,16.44,154.386525,-46.40089444,
23,139,382,16.79,15.79,154.3385,-46.38419444,
24,168,20,14.52,13.46,154.3421725,-46.44904541,
25,497,224,15.3,14.7,154.4295,-46.41522222,
