# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed May 20 15:10:57 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00043772 -1.55000 10.09691 0.0900000036 1.0816895962    0.090 -3.185  3.4768  5.436    1  0.000  0.545     0.00     0.00 -1 -5.25e-17      0.00 7.479e-01 2.516e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 12.732 20.106 17.352 15.349 13.656 12.046 10.747 10.448 10.351
0.00043772 -1.55000 10.09691 0.1000000015 1.1711064577    0.100 -2.883  3.5199  5.353    1  0.000  0.545     0.00     0.00 -1  -1.1e-16      0.00 7.459e-01 2.536e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 11.979 17.442 15.547 13.715 12.456 11.283 10.142 9.682 9.543
0.00043772 -1.55000 10.09691 0.1199999973 1.3193154335    0.120 -2.597  3.5510  5.270    1  0.000  0.545     0.00     0.00 -1 -2.13e-16      0.00 7.431e-01 2.564e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 11.261 15.661 14.197 12.590 11.496 10.559 9.526 9.004 8.842
0.00043772 -1.55000 10.09691 0.1400000006 1.4384527206    0.140 -2.414  3.5663  5.215    1  0.000  0.545     0.00     0.00 -1  -3.2e-16      0.00 7.411e-01 2.585e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.806 14.749 13.465 11.972 10.945 10.102 9.120 8.578 8.404
0.00043772 -1.55000 10.09691 0.1599999964 1.5372931957    0.160 -2.271  3.5764  5.171    1  0.000  0.545     0.00     0.00 -1 -4.37e-16      0.00 7.397e-01 2.599e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 10.449 14.115 12.938 11.519 10.536 9.743 8.795 8.243 8.062
0.00043772 -1.55000 10.09691 0.2000000179 1.6938792467    0.200 -2.050  3.5894  5.099    1  0.000  0.545     0.00     0.00 -1 -7.07e-16      0.00 7.385e-01 2.610e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 9.894 13.221 12.177 10.850 9.926 9.188 8.281 7.719 7.531
0.00043772 -1.55000 10.09691 0.2500000298 1.8403259516    0.250 -1.847  3.6005  5.037    1  0.000  0.545     0.00     0.00 -1 -1.72e-16      0.00 7.386e-01 2.610e-01 8.207e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 9.386 12.454 11.509 10.252 9.378 8.677 7.804 7.239 7.050
0.00043772 -1.55000 10.09691 0.3000000417 1.9529141188    0.300 -1.692  3.6091  4.995    1  0.000  0.545     0.00     0.00 -1 -1.48e-15      0.00 7.388e-01 2.608e-01 8.205e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 8.999 11.880 11.004 9.800 8.962 8.287 7.441 6.874 6.690
0.00043772 -1.55000 10.09691 0.3500000238 2.0434176922    0.350 -1.566  3.6166  4.967    1  0.000  0.545     0.00     0.00 -1  -1.9e-15      0.00 7.387e-01 2.608e-01 8.202e-05 2.215e-05 2.008e-04 -1.000 4.563e-04 8.686 11.416 10.594 9.433 8.626 7.972 7.147 6.580 6.403
0.00043772 -1.55000 10.09691 0.4000000358 2.1185026169    0.400 -1.424  3.6277  4.927    1  0.000  0.545     0.00     0.00 -1 -2.57e-15      0.00 7.503e-01 2.493e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.565e-04 8.331 10.846 10.103 9.001 8.239 7.616 6.822 6.257 6.092
0.00043772 -1.55000 10.09691 0.4500000179 2.1822810173    0.450 -1.252  3.6462  4.879    1  0.000  0.545     0.00     0.00 -1 -3.81e-15      0.00 7.504e-01 2.491e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.564e-04 7.899 10.072 9.457 8.449 7.758 7.184 6.440 5.885 5.743
0.00043772 -1.55000 10.09691 0.5000000000 2.2374541759    0.500 -1.057  3.6715  4.832    1  0.000  0.545     0.00     0.00 -1 -5.98e-15      0.00 7.504e-01 2.491e-01 8.208e-05 2.215e-05 2.008e-04 -1.000 4.563e-04 7.413 9.124 8.708 7.816 7.216 6.703 6.030 5.512 5.394
0.00043772 -1.55000 10.09691 0.5500000715 2.2836585045    0.550 -0.841  3.6960  4.755    1  0.000  0.544     0.00     0.00 -1 -1.02e-14      0.00 7.863e-01 2.134e-01 7.106e-05 1.919e-05 1.741e-04 -1.000 3.713e-04 6.873 8.160 7.956 7.162 6.640 6.175 5.577 5.111 5.012
