# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed May 20 12:03:10 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00049103 -1.50000 9.00000 0.0900000036 1.0816895962    0.090 -3.159  3.4779  5.415    0  0.000  0.545     0.00     0.00 -1 -5.74e-17      0.00 7.503e-01 2.493e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 12.668 19.948 17.265 15.268 13.599 11.996 10.690 10.366 10.260
0.00049103 -1.50000 9.00000 0.0965231061 1.1413884163    0.097 -2.992  3.5017  5.373    0  0.000  0.545     0.00     0.00 -1 -8.53e-17      0.00 7.502e-01 2.493e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.250 18.434 16.235 14.312 12.913 11.566 10.354 9.936 9.807
0.00049103 -1.50000 9.00000 0.0976838693 1.1514624357    0.098 -2.963  3.5060  5.367    0  0.000  0.545     0.00     0.00 -1 -9.13e-17      0.00 7.502e-01 2.493e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.177 18.185 16.063 14.161 12.798 11.491 10.296 9.864 9.732
0.00049103 -1.50000 9.00000 0.1000000015 1.1711064577    0.100 -2.899  3.5151  5.350    0  0.000  0.545     0.00     0.00 -1 -1.06e-16      0.00 7.502e-01 2.493e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 12.018 17.657 15.695 13.841 12.550 11.330 10.168 9.710 9.569
0.00049103 -1.50000 9.00000 0.1118164659 1.2628579140    0.112 -2.725  3.5342  5.301    0  0.000  0.545     0.00     0.00 -1 -1.58e-16      0.00 7.500e-01 2.495e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 11.584 16.520 14.849 13.122 11.949 10.889 9.796 9.294 9.138
0.00049103 -1.50000 9.00000 0.1199999973 1.3193154335    0.120 -2.615  3.5463  5.269    0  0.000  0.545     0.00     0.00 -1 -2.05e-16      0.00 7.499e-01 2.496e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 11.307 15.846 14.332 12.694 11.580 10.608 9.558 9.036 8.872
0.00049103 -1.50000 9.00000 0.1400000006 1.4384527206    0.140 -2.436  3.5615  5.218    1  0.000  0.545     0.00     0.00 -1 -3.03e-16      0.00 7.498e-01 2.497e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 10.860 14.937 13.604 12.078 11.031 10.158 9.160 8.618 8.443
0.00049103 -1.50000 9.00000 0.1599999964 1.5372931957    0.160 -2.301  3.5717  5.181    1  0.000  0.545     0.00     0.00 -1 -4.04e-16      0.00 7.497e-01 2.498e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.522 14.313 13.090 11.638 10.635 9.818 8.854 8.302 8.120
0.00049103 -1.50000 9.00000 0.2000000179 1.6938792467    0.200 -2.096  3.5852  5.128    0  0.000  0.545     0.00     0.00 -1 -6.15e-16      0.00 7.494e-01 2.501e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 10.011 13.456 12.366 11.006 10.061 9.304 8.383 7.823 7.634
0.00049103 -1.50000 9.00000 0.2500000298 1.8403259516    0.250 -1.905  3.5967  5.080    1  0.000  0.545     0.00     0.00 -1 -9.02e-16      0.00 7.492e-01 2.503e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 9.533 12.704 11.718 10.433 9.539 8.824 7.939 7.375 7.185
0.00049103 -1.50000 9.00000 0.3022437692 1.9573857784    0.302 -1.746  3.6057  5.039    1  0.000  0.545     0.00     0.00 -1 -1.24e-15      0.00 7.490e-01 2.505e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.134 12.105 11.193 9.964 9.109 8.422 7.565 6.999 6.813
0.00049103 -1.50000 9.00000 0.3325855732 2.0139160156    0.333 -1.657  3.6100  5.009    0  0.000  0.545     0.00     0.00 -1  -1.5e-15      0.00 7.488e-01 2.507e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.913 11.791 10.913 9.711 8.874 8.201 7.356 6.789 6.605
0.00049103 -1.50000 9.00000 0.3373668194 2.0222125053    0.337 -1.643  3.6106  5.003    0  0.000  0.545     0.00     0.00 -1 -1.55e-15      0.00 7.491e-01 2.504e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.877 11.742 10.869 9.670 8.836 8.164 7.321 6.754 6.571
0.00049103 -1.50000 9.00000 0.3500000238 2.0434176922    0.350 -1.619  3.6124  5.003    0  0.000  0.545     0.00     0.00 -1 -1.61e-15      0.00 7.493e-01 2.502e-01 8.883e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.817 11.646 10.785 9.597 8.770 8.103 7.266 6.699 6.518
0.00049103 -1.50000 9.00000 0.3734338582 2.0802347660    0.373 -1.541  3.6174  4.973    0  0.000  0.545     0.00     0.00 -1 -1.93e-15      0.00 7.495e-01 2.500e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.623 11.353 10.528 9.367 8.561 7.908 7.085 6.517 6.341
0.00049103 -1.50000 9.00000 0.3843721151 2.0964069366    0.384 -1.510  3.6194  4.962    0  0.000  0.545     0.00     0.00 -1 -2.07e-15      0.00 7.497e-01 2.498e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 8.544 11.234 10.424 9.274 8.476 7.829 7.012 6.444 6.269
0.00049103 -1.50000 9.00000 0.4000000358 2.1185026169    0.400 -1.467  3.6224  4.949    1  0.000  0.545     0.00     0.00 -1 -2.27e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.438 11.070 10.280 9.147 8.361 7.723 6.914 6.345 6.175
0.00049103 -1.50000 9.00000 0.4427099228 2.1735708714    0.442 -1.329  3.6366  4.912    1  0.000  0.545     0.00     0.00 -1 -3.09e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.093 10.459 9.766 8.707 7.978 7.378 6.607 6.042 5.889
0.00049103 -1.50000 9.00000 0.4500000179 2.1822810173    0.450 -1.307  3.6389  4.906    1  0.000  0.545     0.00     0.00 -1 -3.25e-15      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 8.038 10.361 9.684 8.637 7.916 7.323 6.558 5.994 5.844
