# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Jun  7 12:23:53 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00059013 -1.42000 10.20412 0.0900000036 1.0816895962    0.090 -3.186  3.4711  5.415    1  0.000  0.545     0.00     0.00 -1 -1.13e-28      0.00 7.468e-01 2.525e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 12.736 20.277 17.525 15.524 13.779 12.093 10.740 10.413 10.304
0.00059013 -1.42000 10.20412 0.0966214538 1.1422480345    0.097 -2.998  3.4978  5.365    1  0.000  0.545     0.00     0.00 -1 -6.39e-28      0.00 7.453e-01 2.541e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 12.266 18.580 16.350 14.421 12.992 11.597 10.361 9.932 9.797
0.00059013 -1.42000 10.20412 0.1000000089 1.1711064577    0.100 -2.907  3.5108  5.340    1  0.000  0.545     0.00     0.00 -1 -1.12e-28      0.00 7.445e-01 2.548e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 12.038 17.819 15.814 13.946 12.628 11.361 10.177 9.711 9.564
0.00059013 -1.42000 10.20412 0.1189210564 1.3121627569    0.119 -2.636  3.5407  5.264    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.414e-01 2.580e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 11.360 16.061 14.493 12.820 11.683 10.669 9.596 9.071 8.901
0.00059013 -1.42000 10.20412 0.1199999973 1.3193154335    0.120 -2.622  3.5423  5.260    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.412e-01 2.582e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 11.325 15.977 14.428 12.766 11.637 10.633 9.566 9.038 8.868
0.00059013 -1.42000 10.20412 0.1400000006 1.4384527206    0.140 -2.438  3.5579  5.206    1  0.000  0.545     0.00     0.00 -1 -2.34e-28      0.00 7.388e-01 2.606e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 10.866 15.042 13.676 12.127 11.067 10.168 9.156 8.610 8.430
0.00059013 -1.42000 10.20412 0.1599999964 1.5372931957    0.160 -2.294  3.5681  5.160    1  0.000  0.545     0.00     0.00 -1    -1e-30      0.00 7.372e-01 2.622e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 10.505 14.390 13.136 11.660 10.644 9.806 8.828 8.272 8.085
0.00059013 -1.42000 10.20412 0.2000000179 1.6938792467    0.200 -2.071  3.5814  5.088    1  0.000  0.545     0.00     0.00 -1 -5.35e-27      0.00 7.361e-01 2.633e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 9.948 13.486 12.362 10.979 10.019 9.245 8.311 7.745 7.552
0.00059013 -1.42000 10.20412 0.2500000298 1.8403259516    0.250 -1.869  3.5925  5.027    1  0.000  0.545     0.00     0.00 -1 -2.41e-28      0.00 7.362e-01 2.631e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 9.443 12.711 11.691 10.380 9.469 8.738 7.838 7.268 7.073
0.00059013 -1.42000 10.20412 0.3000000417 1.9529141188    0.300 -1.716  3.6011  4.987    1  0.000  0.545     0.00     0.00 -1 -2.98e-27      0.00 7.364e-01 2.629e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 9.060 12.140 11.188 9.930 9.055 8.353 7.479 6.907 6.715
0.00059013 -1.42000 10.20412 0.3500000238 2.0434176922    0.350 -1.591  3.6084  4.959    1  0.000  0.545     0.00     0.00 -1 -2.49e-28      0.00 7.390e-01 2.603e-01 1.113e-04 3.006e-05 2.726e-04 -1.000 6.799e-04 8.747 11.674 10.776 9.561 8.716 8.037 7.185 6.611 6.426
0.00059013 -1.42000 10.20412 0.3670800328 2.0705552101    0.367 -1.537  3.6126  4.942    1  0.000  0.545     0.00     0.00 -1 -1.25e-28      0.00 7.429e-01 2.565e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.585e-04 8.613 11.456 10.588 9.397 8.569 7.901 7.062 6.487 6.306
0.00059013 -1.42000 10.20412 0.4000000358 2.1185026169    0.400 -1.440  3.6202  4.913    1  0.000  0.545     0.00     0.00 -1  -4.6e-29      0.00 7.499e-01 2.494e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.196e-04 8.370 11.067 10.249 9.101 8.303 7.658 6.839 6.263 6.091
0.00059013 -1.42000 10.20412 0.4500000179 2.1822810173    0.450 -1.258  3.6398  4.861    1  0.000  0.545     0.00     0.00 -1 -2.78e-30      0.00 7.500e-01 2.493e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 7.916 10.249 9.560 8.515 7.795 7.204 6.437 5.865 5.719
0.00059013 -1.42000 10.20412 0.5000000000 2.2374541759    0.500 -1.051  3.6683  4.813    1  0.000  0.545     0.00     0.00 -1  -6.3e-30      0.00 7.500e-01 2.493e-01 1.114e-04 3.006e-05 2.726e-04 -1.000 6.195e-04 7.396 9.207 8.730 7.823 7.207 6.688 6.001 5.465 5.350
0.00059013 -1.42000 10.20412 0.5500000715 2.2836585045    0.550 -0.815  3.6958  4.728    1  0.000  0.544     0.00     0.00 -1 -1.16e-30      0.00 7.955e-01 2.039e-01 9.251e-05 2.498e-05 2.267e-04 -1.000 5.192e-04 6.807 8.127 7.892 7.097 6.572 6.110 5.507 5.034 4.938
0.00059013 -1.42000 10.20412 0.5850515366 2.3106913567    0.585 -0.649  3.7184  4.679    1  0.000  0.543     0.00     0.00 -1 -1.01e-30      0.00 8.051e-01 1.944e-01 8.884e-05 2.401e-05 2.180e-04 -1.000 5.009e-04 6.391 7.379 7.318 6.605 6.138 5.715 5.179 4.757 4.675
0.00059013 -1.42000 10.20412 0.6000000238 2.3211214542    0.600 -0.581  3.7276  4.659    1  0.000  0.543     0.00     0.00 -1    -1e-30      0.00 8.090e-01 1.905e-01 8.735e-05 2.361e-05 2.144e-04 -1.000 4.931e-04 6.222 7.091 7.090 6.411 5.965 5.558 5.047 4.644 4.568
0.00059013 -1.42000 10.20412 0.6085831523 2.3268446922    0.608 -0.538  3.7333  4.645    1  0.000  0.543     0.00     0.00 -1 -8.38e-28      0.00 8.116e-01 1.879e-01 8.631e-05 2.333e-05 2.119e-04 -1.000 4.773e-04 6.115 6.917 6.951 6.292 5.858 5.460 4.965 4.573 4.500
0.00059013 -1.42000 10.20412 0.6184521317 2.3331999779    0.618 -0.488  3.7398  4.629    1  0.000  0.543     0.00     0.00 -1 -1.75e-24      0.00 8.148e-01 1.847e-01 8.508e-05 2.300e-05 2.090e-04 -1.000 4.952e-04 5.991 6.722 6.791 6.156 5.735 5.346 4.867 4.487 4.418
0.00059013 -1.42000 10.20412 0.6279831529 2.3391199112    0.628 -0.439  3.7459  4.611    1  0.000  0.543     0.00     0.00 -1 -2.38e-21      0.00 8.180e-01 1.815e-01 8.384e-05 2.268e-05 2.060e-04 -1.000 4.724e-04 5.869 6.539 6.637 6.023 5.615 5.236 4.772 4.402 4.338
0.00059013 -1.42000 10.20412 0.6370903254 2.3445868492    0.637 -0.392  3.7516  4.592    1  0.000  0.542     0.00     0.00 -1 -7.82e-23      0.00 8.212e-01 1.784e-01 8.261e-05 2.235e-05 2.031e-04 -1.000 4.376e-04 5.750 6.364 6.489 5.896 5.500 5.130 4.679 4.318 4.258
