# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed May 20 12:01:49 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00049103 -1.50000 8.00000 0.0900000036 1.0816895962    0.090 -2.594  3.5291  5.055    0  0.000  0.545     0.00     0.00 -1  -3.2e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 11.256 16.219 14.560 12.824 11.648 10.582 9.467 8.948 8.778
0.00049103 -1.50000 8.00000 0.0900235176 1.0819147825    0.090 -2.594  3.5291  5.055    0  0.000  0.545     0.00     0.00 -1  -3.2e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 11.256 16.218 14.559 12.823 11.648 10.581 9.466 8.948 8.778
0.00049103 -1.50000 8.00000 0.0955059156 1.1324299574    0.095 -2.550  3.5341  5.056    0  0.000  0.545     0.00     0.00 -1 -3.44e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 11.145 15.952 14.352 12.651 11.498 10.467 9.370 8.845 8.673
0.00049103 -1.50000 8.00000 0.1000000015 1.1711064577    0.100 -2.514  3.5388  5.059    0  0.000  0.545     0.00     0.00 -1 -3.64e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.940e-04 11.055 15.721 14.175 12.505 11.373 10.374 9.294 8.763 8.589
0.00049103 -1.50000 8.00000 0.1089299545 1.2416476011    0.109 -2.452  3.5450  5.059    0  0.000  0.545     0.00     0.00 -1 -4.02e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.900 15.384 13.907 12.281 11.175 10.215 9.157 8.619 8.443
0.00049103 -1.50000 8.00000 0.1193271205 1.3148645163    0.119 -2.382  3.5526  5.059    0  0.000  0.545     0.00     0.00 -1  -4.5e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.726 14.993 13.597 12.024 10.950 10.037 9.006 8.460 8.281
0.00049103 -1.50000 8.00000 0.1199999973 1.3193154335    0.120 -2.378  3.5531  5.060    0  0.000  0.545     0.00     0.00 -1 -4.54e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.715 14.968 13.577 12.008 10.936 10.026 8.996 8.450 8.271
0.00049103 -1.50000 8.00000 0.1288847029 1.3752036095    0.129 -2.327  3.5579  5.059    0  0.000  0.545     0.00     0.00 -1 -4.93e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.588 14.708 13.368 11.831 10.779 9.896 8.883 8.333 8.151
0.00049103 -1.50000 8.00000 0.1400000006 1.4384527206    0.140 -2.265  3.5638  5.056    0  0.000  0.545     0.00     0.00 -1 -5.47e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.434 14.396 13.115 11.619 10.590 9.740 8.747 8.192 8.007
0.00049103 -1.50000 8.00000 0.1599999964 1.5372931957    0.160 -2.170  3.5721  5.052    0  0.000  0.545     0.00     0.00 -1  -6.4e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.195 13.940 12.741 11.301 10.306 9.498 8.533 7.972 7.784
0.00049103 -1.50000 8.00000 0.1603564620 1.5389071703    0.160 -2.168  3.5722  5.052    0  0.000  0.545     0.00     0.00 -1 -6.41e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 10.191 13.933 12.736 11.297 10.302 9.494 8.529 7.969 7.780
0.00049103 -1.50000 8.00000 0.1986104548 1.6891436577    0.199 -2.017  3.5841  5.042    0  0.000  0.545     0.00     0.00 -1 -8.25e-16      0.00 7.504e-01 2.491e-01 8.884e-05 2.397e-05 2.174e-04 -1.000 4.941e-04 9.814 13.267 12.178 10.816 9.871 9.112 8.186 7.620 7.428
