# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed May 20 14:58:42 CEST 2020
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.00039019 -1.60000 10.10380 0.0900000036 1.0816895962    0.090 -3.187  3.4785  5.445    1  0.000  0.545     0.00     0.00 -1 -5.17e-17      0.00 7.479e-01 2.516e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 12.737 20.067 17.308 15.302 13.624 12.037 10.754 10.468 10.375
0.00039019 -1.60000 10.10380 0.0990950465 1.1635022163    0.099 -2.901  3.5197  5.365    1  0.000  0.545     0.00     0.00 -1 -1.04e-16      0.00 7.460e-01 2.536e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 12.022 17.512 15.595 13.756 12.492 11.320 10.182 9.734 9.601
0.00039019 -1.60000 10.10380 0.1000000015 1.1711064577    0.100 -2.874  3.5236  5.358    1  0.000  0.545     0.00     0.00 -1 -1.11e-16      0.00 7.458e-01 2.538e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.954 17.301 15.445 13.632 12.392 11.252 10.127 9.669 9.533
0.00039019 -1.60000 10.10380 0.1107958853 1.2554408312    0.111 -2.712  3.5410  5.310    1  0.000  0.545     0.00     0.00 -1 -1.62e-16      0.00 7.441e-01 2.554e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 11.549 16.278 14.678 12.992 11.849 10.845 9.780 9.282 9.132
0.00039019 -1.60000 10.10380 0.1200000048 1.3193155527    0.120 -2.586  3.5546  5.273    1  0.000  0.545     0.00     0.00 -1 -2.18e-16      0.00 7.428e-01 2.568e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.187e-04 11.234 15.531 14.103 12.520 11.440 10.528 9.509 8.988 8.828
0.00039019 -1.60000 10.10380 0.1267127842 1.3620139360    0.127 -2.521  3.5599  5.253    1  0.000  0.545     0.00     0.00 -1 -2.51e-16      0.00 7.421e-01 2.575e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 11.073 15.205 13.842 12.301 11.244 10.366 9.365 8.836 8.672
0.00039019 -1.60000 10.10380 0.1400000006 1.4384527206    0.140 -2.403  3.5698  5.218    1  0.000  0.545     0.00     0.00 -1 -3.27e-16      0.00 7.407e-01 2.589e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.189e-04 10.777 14.620 13.373 11.906 10.893 10.071 9.102 8.560 8.388
0.00039019 -1.60000 10.10380 0.1599999964 1.5372931957    0.160 -2.259  3.5798  5.173    1  0.000  0.545     0.00     0.00 -1 -4.48e-16      0.00 7.393e-01 2.603e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 10.419 13.994 12.850 11.455 10.486 9.711 8.775 8.223 8.044
0.00039019 -1.60000 10.10380 0.2000000179 1.6938792467    0.200 -2.038  3.5927  5.100    1  0.000  0.545     0.00     0.00 -1 -7.26e-16      0.00 7.382e-01 2.614e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.865 13.108 12.096 10.791 9.882 9.157 8.260 7.701 7.514
0.00039019 -1.60000 10.10380 0.2500000298 1.8403259516    0.250 -1.835  3.6038  5.038    1  0.000  0.545     0.00     0.00 -1  -1.5e-16      0.00 7.383e-01 2.613e-01 7.530e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 9.358 12.345 11.431 10.196 9.337 8.647 7.785 7.222 7.036
0.00039019 -1.60000 10.10380 0.3000000417 1.9529141188    0.300 -1.681  3.6125  4.997    1  0.000  0.545     0.00     0.00 -1 -8.04e-16      0.00 7.385e-01 2.611e-01 7.529e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.972 11.772 10.927 9.745 8.923 8.258 7.422 6.859 6.678
0.00039019 -1.60000 10.10380 0.3099397421 1.9724016190    0.310 -1.654  3.6141  4.992    1  0.000  0.545     0.00     0.00 -1  -1.6e-15      0.00 7.385e-01 2.611e-01 7.528e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.905 11.673 10.840 9.667 8.852 8.191 7.360 6.797 6.617
0.00039019 -1.60000 10.10380 0.3500000238 2.0434176922    0.350 -1.555  3.6201  4.969    1  0.000  0.544     0.00     0.00 -1 -1.94e-15      0.00 7.384e-01 2.612e-01 7.526e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.657 11.305 10.516 9.376 8.586 7.942 7.128 6.565 6.391
0.00039019 -1.60000 10.10380 0.4000000358 2.1185026169    0.400 -1.415  3.6309  4.931    1  0.000  0.545     0.00     0.00 -1 -2.62e-15      0.00 7.503e-01 2.493e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.307 10.745 10.034 8.952 8.205 7.591 6.807 6.247 6.085
0.00039019 -1.60000 10.10380 0.4271196127 2.1543018818    0.427 -1.320  3.6410  4.904    1  0.000  0.545     0.00     0.00 -1 -3.25e-15      0.00 7.504e-01 2.492e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 8.069 10.320 9.680 8.648 7.941 7.353 6.597 6.042 5.892
0.00039019 -1.60000 10.10380 0.4499999881 2.1822810173    0.450 -1.244  3.6490  4.883    1  0.000  0.545     0.00     0.00 -1 -3.87e-15      0.00 7.505e-01 2.491e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 7.880 9.983 9.402 8.409 7.731 7.164 6.430 5.883 5.742
0.00039019 -1.60000 10.10380 0.5000000000 2.2374541759    0.500 -1.052  3.6734  4.834    1  0.000  0.545     0.00     0.00 -1 -6.04e-15      0.00 7.505e-01 2.491e-01 7.531e-05 2.032e-05 1.843e-04 -1.000 4.188e-04 7.399 9.060 8.674 7.791 7.199 6.689 6.024 5.513 5.396
0.00039019 -1.60000 10.10380 0.5500000715 2.2836585045    0.550 -0.836  3.6975  4.756    1  0.000  0.544     0.00     0.00 -1 -1.04e-14      0.00 7.868e-01 2.129e-01 6.505e-05 1.756e-05 1.593e-04 -1.000 3.357e-04 6.860 8.112 7.931 7.143 6.625 6.163 5.570 5.110 5.011
0.00039019 -1.60000 10.10380 0.6000000238 2.3211214542    0.600 -0.622  3.7252  4.691    1  0.000  0.544     0.00     0.00 -1 -1.74e-14      0.00 7.986e-01 2.010e-01 6.190e-05 1.672e-05 1.519e-04 -1.000 3.361e-04 6.326 7.194 7.209 6.526 6.075 5.660 5.145 4.742 4.661
0.00039019 -1.60000 10.10380 0.6003964543 2.3213899136    0.600 -0.621  3.7255  4.691    1  0.000  0.543     0.00     0.00 -1 -1.75e-14      0.00 7.987e-01 2.009e-01 6.187e-05 1.671e-05 1.518e-04 -1.000 3.363e-04 6.321 7.187 7.203 6.521 6.071 5.656 5.142 4.739 4.658
0.00039019 -1.60000 10.10380 0.6113427877 2.3286454678    0.611 -0.571  3.7323  4.677    1  0.000  0.543     0.00     0.00 -1 -1.98e-14      0.00 8.018e-01 1.979e-01 6.107e-05 1.650e-05 1.498e-04 -1.000 3.430e-04 6.198 6.983 7.039 6.383 5.947 5.544 5.047 4.658 4.581
0.00039019 -1.60000 10.10380 0.6219319701 2.3353855610    0.622 -0.523  3.7388  4.662    1  0.000  0.543     0.00     0.00 -1 -2.22e-14      0.00 8.049e-01 1.947e-01 6.026e-05 1.628e-05 1.479e-04 -1.000 3.444e-04 6.079 6.792 6.883 6.250 5.828 5.435 4.955 4.577 4.505
0.00039019 -1.60000 10.10380 0.6317725182 2.3414168358    0.631 -0.479  3.7448  4.648    1  0.000  0.543     0.00     0.00 -1 -1.17e-19      0.00 8.079e-01 1.917e-01 5.948e-05 1.608e-05 1.460e-04 -1.000 3.419e-04 5.967 6.622 6.741 6.129 5.719 5.336 4.869 4.500 4.433
0.00039019 -1.60000 10.10380 0.6409184337 2.3468315601    0.641 -0.437  3.7503  4.634    1  0.000  0.543     0.00     0.00 -1 -3.75e-17      0.00 8.108e-01 1.888e-01 5.871e-05 1.587e-05 1.442e-04 -1.000 3.308e-04 5.861 6.465 6.608 6.016 5.617 5.243 4.789 4.427 4.364
0.00039019 -1.60000 10.10380 0.6498295069 2.3519392014    0.650 -0.395  3.7555  4.620    1  0.000  0.543     0.00     0.00 -1 -2.71e-14      0.00 8.138e-01 1.859e-01 5.795e-05 1.567e-05 1.424e-04 -1.000 3.322e-04 5.758 6.315 6.479 5.906 5.518 5.153 4.710 4.356 4.297
0.00039019 -1.60000 10.10380 0.6499999762 2.3520355225    0.650 -0.394  3.7556  4.619    1  0.000  0.543     0.00     0.00 -1 -3.07e-14      0.00 8.138e-01 1.858e-01 5.793e-05 1.567e-05 1.424e-04 -1.000 3.449e-04 5.756 6.312 6.476 5.903 5.516 5.151 4.709 4.354 4.296
